order_id,total_qty,total_berat_gr,total_returned_qty,total_diskon,product_categories,num_product_categories,status_pesanan,alasan_pembatalan,opsi_pengiriman,metode_pembayaran,kota_kabupaten,provinsi,ongkir_dibayar,subsidi_ongkir,total_pembayaran,perkiraan_ongkir,Waktu Pesanan Dibuat,cancel_flag,total_berat_kg,ongkir_per_kg,free_shipping_flag,ongkir_per_kg_clipped
ORD_0000010,6,12900,0,0,"Aksesoris Mandi, Celengan, Keranjang",3,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KAB. TEGAL,JAWA TENGAH,13000,20000,92800,33000,2024-04-01 08:27,0,12.9,1007.7519379844961,0,1007.7519379844961
ORD_0000018,1,7000,0,0,Other,1,Selesai,,Instant (Versi Lama)-SPX Instant (Versi Lama),Saldo ShopeePay,KOTA TANGERANG,BANTEN,23000,20000,124000,43000,2024-04-01 12:51,0,7.0,3285.714285714286,0,3285.714285714286
ORD_0000019,2,1200,0,0,"Celengan, Peralatan Kamar Mandi",2,Selesai,,Agen SPX Express,COD (Bayar di Tempat),KAB. LAMPUNG UTARA,LAMPUNG,3000,20000,35112,23000,2024-04-01 13:07,0,1.2,2500.0,0,2500.0
ORD_0000023,1,1700,0,0,Rak / Rak Serbaguna,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BENGKULU,BENGKULU,4000,40000,72760,44000,2024-04-01 14:01,0,1.7,2352.9411764705883,0,2352.9411764705883
ORD_0000025,15,3000,0,0,Nampan / Tray,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUBANG,JAWA BARAT,31000,20000,134640,51000,2024-04-01 15:25,0,3.0,10333.333333333334,0,10333.333333333334
ORD_0000026,10,2000,0,0,Mangkok Sambal / Saus,1,Selesai,,Agen SPX Express,COD (Bayar di Tempat),KAB. LAMPUNG TIMUR,LAMPUNG,6000,40000,163240,46000,2024-04-01 15:27,0,2.0,3000.0,0,3000.0
ORD_0000031,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KEBUMEN,JAWA TENGAH,18000,0,33000,18000,2024-04-01 21:23,0,0.2,90000.0,0,90000.0
ORD_0000034,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,10000,0,27000,10000,2024-04-02 05:47,0,0.5,20000.0,0,20000.0
ORD_0000036,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Reguler (Cashless)-J&T Express,COD (Bayar di Tempat),KAB. KEPULAUAN SIAU TAGULANDANG BIARO (SITARO),SULAWESI UTARA,78499,0,98239,78499,2024-04-08 16:50,0,0.2,392495.0,0,170093.75000000035
ORD_0000037,3,3300,0,0,"Celengan, Other",2,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA SELATAN,DKI JAKARTA,8000,0,50000,8000,2024-04-08 19:15,0,3.3,2424.2424242424245,0,2424.2424242424245
ORD_0000038,2,4000,1,0,Plastik / Wadah Plastik,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SUKABUMI,JAWA BARAT,16000,20000,130540,36000,2024-04-08 19:49,0,4.0,4000.0,0,4000.0
ORD_0000042,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,8000,0,29912,8000,2024-04-09 00:22,0,0.5,16000.0,0,16000.0
ORD_0000043,2,2000,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KAB. BEKASI,JAWA BARAT,8000,0,46147,8000,2024-04-09 01:45,0,2.0,4000.0,0,4000.0
ORD_0000044,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KOTA TANGERANG SELATAN,BANTEN,8000,0,27000,8000,2024-04-09 02:45,0,0.5,16000.0,0,16000.0
ORD_0000046,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. LAMPUNG TENGAH,LAMPUNG,3200,30000,35528,33200,2024-04-09 08:51,0,0.4,8000.0,0,8000.0
ORD_0000047,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAKARTA UTARA,DKI JAKARTA,10000,0,28000,10000,2024-04-09 09:14,0,0.5,20000.0,0,20000.0
ORD_0000048,1,700,0,0,Rak / Rak Serbaguna,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,8000,0,31000,8000,2024-04-09 10:49,0,0.7,11428.57142857143,0,11428.57142857143
ORD_0000049,2,1000,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA BARAT,DKI JAKARTA,8000,0,43800,8000,2024-04-09 12:30,0,1.0,8000.0,0,8000.0
ORD_0000050,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KAB. BOGOR,JAWA BARAT,8000,0,33000,8000,2024-04-09 12:54,0,0.5,16000.0,0,16000.0
ORD_0000052,2,1000,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,8000,0,48590,8000,2024-04-09 13:18,0,1.0,8000.0,0,8000.0
ORD_0000053,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,8000,0,40520,8000,2024-04-09 14:56,0,0.4,20000.0,0,20000.0
ORD_0000060,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. GARUT,JAWA BARAT,4000,10000,25752,14000,2024-04-10 13:37,0,0.5,8000.0,0,8000.0
ORD_0000061,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KAB. BOGOR,JAWA BARAT,8000,0,29078,8000,2024-04-10 17:35,0,0.5,16000.0,0,16000.0
ORD_0000062,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG BARAT,JAWA BARAT,9000,0,34280,9000,2024-04-10 20:19,0,0.5,18000.0,0,18000.0
ORD_0000066,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,8000,0,28800,8000,2024-04-11 10:11,0,0.5,16000.0,0,16000.0
