provinsi,jumlah_transaksi,total_estimated_subsidy,avg_estimated_subsidy,cancel_rate,high_cost_ratio
BALI,111,1979886.0,17837.0,0.3153,0.5856
BANGKA BELITUNG,54,872775.0,16162.0,0.2963,0.9259
BANTEN,2627,44380935.0,16894.0,0.1648,0.3974
BENGKULU,79,1856790.0,23504.0,0.2911,0.7722
DI YOGYAKARTA,180,803720.0,4465.0,0.1556,0.2556
DKI JAKARTA,2119,41517441.0,19593.0,0.1704,0.6725
GORONTALO,19,882112.0,46427.0,0.5789,0.8421
JAMBI,222,5582200.0,25145.0,0.2477,0.8649
JAWA BARAT,5033,60012970.0,11924.0,0.1498,0.3421
JAWA TENGAH,1073,6922600.0,6452.0,0.1752,0.233
JAWA TIMUR,1111,9496575.0,8548.0,0.2259,0.2565
KALIMANTAN BARAT,99,2750057.0,27778.0,0.404,0.9091
KALIMANTAN SELATAN,71,1449855.0,20420.0,0.4366,0.8732
KALIMANTAN TENGAH,69,2907060.0,42131.0,0.4783,0.9855
KALIMANTAN TIMUR,61,3434102.0,56297.0,0.6066,0.9508
KALIMANTAN UTARA,5,125000.0,25000.0,0.6,1.0
KEPULAUAN RIAU,39,3987748.0,102250.0,0.4359,0.8718
LAMPUNG,328,5147874.0,15695.0,0.2104,0.4939
MALUKU,9,495600.0,55067.0,0.6667,1.0
MALUKU UTARA,2,49130.0,24565.0,1.0,1.0
NANGGROE ACEH DARUSSALAM (NAD),75,639000.0,8520.0,0.4267,0.5467
NUSA TENGGARA BARAT (NTB),45,2337160.0,51937.0,0.6444,0.7556
NUSA TENGGARA TIMUR (NTT),6,1787975.0,297996.0,0.8333,0.8333
RIAU,211,3069212.0,14546.0,0.2891,0.5498
SULAWESI BARAT,3,190930.0,63643.0,1.0,1.0
SULAWESI SELATAN,121,2143830.0,17718.0,0.4793,0.8099
SULAWESI TENGAH,26,987250.0,37971.0,0.6538,1.0
SULAWESI TENGGARA,11,639600.0,58145.0,0.5455,1.0
SULAWESI UTARA,17,1147678.0,67510.0,0.7647,0.9412
SUMATERA BARAT,151,1510082.0,10001.0,0.3444,0.4901
SUMATERA SELATAN,426,6522296.0,15311.0,0.2371,0.5493
SUMATERA UTARA,149,3014450.0,20231.0,0.4027,0.4832
