order_id,waktu_pesanan,tahun,bulan,provinsi,total_berat_kg,ongkir_dibayar,ongkir_per_kg,ongkir_per_kg_clipped
ORD_0000010,2024-04-01 08:27:00,2024.0,4.0,JAWA TENGAH,12.9,13000,1007.751937984496,1007.751937984496
ORD_0000018,2024-04-01 12:51:00,2024.0,4.0,BANTEN,7.0,23000,3285.714285714286,3285.714285714286
ORD_0000019,2024-04-01 13:07:00,2024.0,4.0,LAMPUNG,1.2,3000,2500.0,2500.0
ORD_0000023,2024-04-01 14:01:00,2024.0,4.0,BENGKULU,1.7,4000,2352.9411764705883,2352.9411764705883
ORD_0000025,2024-04-01 15:25:00,2024.0,4.0,JAWA BARAT,3.0,31000,10333.333333333334,10333.333333333334
ORD_0000026,2024-04-01 15:27:00,2024.0,4.0,LAMPUNG,2.0,6000,3000.0,3000.0
ORD_0000031,2024-04-01 21:23:00,2024.0,4.0,JAWA TENGAH,0.2,18000,90000.0,90000.0
ORD_0000034,2024-04-02 05:47:00,2024.0,4.0,JAWA BARAT,0.5,10000,20000.0,20000.0
ORD_0000036,2024-04-08 16:50:00,2024.0,4.0,SULAWESI UTARA,0.2,78499,392495.0,170093.75000000035
ORD_0000037,2024-04-08 19:15:00,2024.0,4.0,DKI JAKARTA,3.3,8000,2424.2424242424245,2424.2424242424245
ORD_0000038,2024-04-08 19:49:00,2024.0,4.0,JAWA BARAT,4.0,16000,4000.0,4000.0
ORD_0000042,2024-04-09 00:22:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000043,2024-04-09 01:45:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000044,2024-04-09 02:45:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000046,2024-04-09 08:51:00,2024.0,4.0,LAMPUNG,0.4,3200,8000.0,8000.0
ORD_0000047,2024-04-09 09:14:00,2024.0,4.0,DKI JAKARTA,0.5,10000,20000.0,20000.0
ORD_0000048,2024-04-09 10:49:00,2024.0,4.0,JAWA BARAT,0.7,8000,11428.57142857143,11428.57142857143
ORD_0000049,2024-04-09 12:30:00,2024.0,4.0,DKI JAKARTA,1.0,8000,8000.0,8000.0
ORD_0000050,2024-04-09 12:54:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000052,2024-04-09 13:18:00,2024.0,4.0,BANTEN,1.0,8000,8000.0,8000.0
ORD_0000053,2024-04-09 14:56:00,2024.0,4.0,JAWA BARAT,0.4,8000,20000.0,20000.0
ORD_0000060,2024-04-10 13:37:00,2024.0,4.0,JAWA BARAT,0.5,4000,8000.0,8000.0
ORD_0000061,2024-04-10 17:35:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000062,2024-04-10 20:19:00,2024.0,4.0,JAWA BARAT,0.5,9000,18000.0,18000.0
ORD_0000066,2024-04-11 10:11:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000067,2024-04-11 10:16:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000068,2024-04-11 14:18:00,2024.0,4.0,KALIMANTAN TIMUR,1.8,101000,56111.11111111111,56111.11111111111
ORD_0000070,2024-04-11 15:24:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000073,2024-04-11 23:43:00,2024.0,4.0,DKI JAKARTA,2.0,8000,4000.0,4000.0
ORD_0000074,2024-04-12 04:56:00,2024.0,4.0,JAWA BARAT,1.0,8000,8000.0,8000.0
ORD_0000079,2024-04-12 13:04:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000084,2024-04-12 18:13:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000086,2024-04-12 20:44:00,2024.0,4.0,JAWA BARAT,5.0,65000,13000.0,13000.0
ORD_0000087,2024-04-12 20:45:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000088,2024-04-12 21:23:00,2024.0,4.0,JAWA BARAT,0.5,9000,18000.0,18000.0
ORD_0000089,2024-04-13 02:53:00,2024.0,4.0,JAWA BARAT,0.5,9500,19000.0,19000.0
ORD_0000090,2024-04-13 04:30:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000093,2024-04-13 07:39:00,2024.0,4.0,DKI JAKARTA,7.8,4000,512.8205128205128,512.8205128205128
ORD_0000096,2024-04-13 10:15:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000097,2024-04-13 11:27:00,2024.0,4.0,BANTEN,9.0,17500,1944.4444444444443,1944.4444444444443
ORD_0000098,2024-04-13 13:11:00,2024.0,4.0,JAWA BARAT,1.0,8000,8000.0,8000.0
ORD_0000099,2024-04-13 13:42:00,2024.0,4.0,JAWA BARAT,4.5,18000,4000.0,4000.0
ORD_0000100,2024-04-13 18:08:00,2024.0,4.0,JAWA BARAT,0.5,16000,32000.0,32000.0
ORD_0000102,2024-04-13 22:13:00,2024.0,4.0,DKI JAKARTA,0.5,10000,20000.0,20000.0
ORD_0000103,2024-04-13 22:36:00,2024.0,4.0,JAWA TENGAH,0.5,4500,9000.0,9000.0
ORD_0000104,2024-04-13 23:03:00,2024.0,4.0,BENGKULU,3.9,37300,9564.102564102564,9564.102564102564
ORD_0000105,2024-04-14 01:37:00,2024.0,4.0,JAWA TENGAH,0.4,22000,55000.0,55000.0
ORD_0000106,2024-04-14 05:57:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000107,2024-04-14 09:14:00,2024.0,4.0,BANTEN,4.2,17500,4166.666666666666,4166.666666666666
ORD_0000108,2024-04-14 09:37:00,2024.0,4.0,JAWA BARAT,0.6,8000,13333.333333333334,13333.333333333334
ORD_0000109,2024-04-14 11:37:00,2024.0,4.0,JAMBI,3.6,15200,4222.222222222222,4222.222222222222
ORD_0000110,2024-04-14 12:17:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000111,2024-04-14 13:47:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000112,2024-04-14 14:01:00,2024.0,4.0,BANTEN,0.5,13000,26000.0,26000.0
ORD_0000114,2024-04-14 15:33:00,2024.0,4.0,BANTEN,0.1,8000,80000.0,80000.0
ORD_0000115,2024-04-14 15:33:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000117,2024-04-14 17:06:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000119,2024-04-14 17:46:00,2024.0,4.0,JAWA BARAT,2.0,11000,5500.0,5500.0
ORD_0000120,2024-04-14 19:28:00,2024.0,4.0,JAMBI,0.4,11000,27500.0,27500.0
ORD_0000121,2024-04-14 20:45:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000122,2024-04-14 20:53:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000123,2024-04-14 22:04:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000125,2024-04-14 22:51:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000126,2024-04-15 00:34:00,2024.0,4.0,JAWA TIMUR,1.2,2000,1666.6666666666667,1666.6666666666667
ORD_0000127,2024-04-15 05:04:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000128,2024-04-15 07:43:00,2024.0,4.0,BANTEN,4.5,36000,8000.0,8000.0
ORD_0000129,2024-04-15 08:11:00,2024.0,4.0,JAWA TENGAH,0.62,22000,35483.87096774194,35483.87096774194
ORD_0000130,2024-04-15 09:02:00,2024.0,4.0,JAWA BARAT,0.5,10000,20000.0,20000.0
ORD_0000133,2024-04-15 16:03:00,2024.0,4.0,JAWA BARAT,0.6,11000,18333.333333333336,18333.333333333336
ORD_0000134,2024-04-15 16:27:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000135,2024-04-15 16:34:00,2024.0,4.0,DKI JAKARTA,1.0,8000,8000.0,8000.0
ORD_0000136,2024-04-15 17:07:00,2024.0,4.0,DKI JAKARTA,0.7,8000,11428.57142857143,11428.57142857143
ORD_0000137,2024-04-15 17:19:00,2024.0,4.0,JAWA BARAT,1.7,16000,9411.764705882351,9411.764705882351
ORD_0000138,2024-04-15 17:27:00,2024.0,4.0,DKI JAKARTA,0.5,10000,20000.0,20000.0
ORD_0000140,2024-04-15 19:20:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000141,2024-04-15 19:24:00,2024.0,4.0,DKI JAKARTA,2.0,8000,4000.0,4000.0
ORD_0000143,2024-04-15 19:37:00,2024.0,4.0,BANTEN,0.5,16000,32000.0,32000.0
ORD_0000144,2024-04-15 19:50:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000145,2024-04-15 20:21:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000146,2024-04-15 21:34:00,2024.0,4.0,BANTEN,24.0,9000,375.0,375.0
ORD_0000147,2024-04-15 21:36:00,2024.0,4.0,SUMATERA BARAT,1.2,1000,833.3333333333334,833.3333333333334
ORD_0000148,2024-04-15 21:40:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000149,2024-04-15 22:19:00,2024.0,4.0,JAWA BARAT,2.0,18000,9000.0,9000.0
ORD_0000150,2024-04-15 22:44:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000151,2024-04-16 08:22:00,2024.0,4.0,JAWA BARAT,0.5,9500,19000.0,19000.0
ORD_0000152,2024-04-16 10:37:00,2024.0,4.0,JAWA BARAT,0.5,3000,6000.0,6000.0
ORD_0000155,2024-04-16 12:06:00,2024.0,4.0,DKI JAKARTA,1.7,20000,11764.705882352942,11764.705882352942
ORD_0000156,2024-04-16 14:57:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000157,2024-04-16 15:13:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000159,2024-04-16 15:56:00,2024.0,4.0,JAWA BARAT,0.05,10500,210000.0,170093.75000000035
ORD_0000160,2024-04-16 17:46:00,2024.0,4.0,DKI JAKARTA,0.6,8000,13333.333333333334,13333.333333333334
ORD_0000162,2024-04-16 18:49:00,2024.0,4.0,DKI JAKARTA,0.2,8000,40000.0,40000.0
ORD_0000163,2024-04-16 20:20:00,2024.0,4.0,DKI JAKARTA,0.4,8000,20000.0,20000.0
ORD_0000167,2024-04-17 07:05:00,2024.0,4.0,JAWA TIMUR,22.5,19900,884.4444444444445,884.4444444444445
ORD_0000168,2024-04-17 07:28:00,2024.0,4.0,KALIMANTAN TENGAH,2.0,18600,9300.0,9300.0
ORD_0000172,2024-04-17 09:46:00,2024.0,4.0,JAWA TENGAH,0.2,4500,22500.0,22500.0
ORD_0000184,2024-04-17 12:18:00,2024.0,4.0,JAWA BARAT,5.8,16000,2758.620689655173,2758.620689655173
ORD_0000188,2024-04-17 13:01:00,2024.0,4.0,JAWA BARAT,0.5,6000,12000.0,12000.0
ORD_0000194,2024-04-17 14:51:00,2024.0,4.0,SULAWESI SELATAN,1.0,11500,11500.0,11500.0
ORD_0000200,2024-04-17 16:44:00,2024.0,4.0,BANGKA BELITUNG,1.86,8000,4301.075268817204,4301.075268817204
ORD_0000201,2024-04-17 17:50:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000209,2024-04-17 19:51:00,2024.0,4.0,JAWA BARAT,1.0,8000,8000.0,8000.0
ORD_0000214,2024-04-17 21:46:00,2024.0,4.0,JAWA BARAT,0.9,8000,8888.888888888889,8888.888888888889
ORD_0000219,2024-04-18 00:00:00,2024.0,4.0,DKI JAKARTA,1.7,16000,9411.764705882351,9411.764705882351
ORD_0000221,2024-04-18 06:07:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000223,2024-04-18 08:53:00,2024.0,4.0,JAWA BARAT,0.7,8000,11428.57142857143,11428.57142857143
ORD_0000225,2024-04-18 09:12:00,2024.0,4.0,DKI JAKARTA,0.6,8000,13333.333333333334,13333.333333333334
ORD_0000226,2024-04-18 09:19:00,2024.0,4.0,DKI JAKARTA,0.5,8000,16000.0,16000.0
ORD_0000227,2024-04-18 09:30:00,2024.0,4.0,JAWA BARAT,0.4,8000,20000.0,20000.0
ORD_0000228,2024-04-18 09:59:00,2024.0,4.0,KALIMANTAN BARAT,1.7,78000,45882.35294117647,45882.35294117647
ORD_0000231,2024-04-18 12:02:00,2024.0,4.0,KALIMANTAN TENGAH,2.0,43600,21800.0,21800.0
ORD_0000233,2024-04-18 12:35:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000234,2024-04-18 12:53:00,2024.0,4.0,JAWA BARAT,0.5,8000,16000.0,16000.0
ORD_0000235,2024-04-18 13:18:00,2024.0,4.0,JAWA BARAT,0.75,9000,12000.0,12000.0
ORD_0000236,2024-04-18 14:21:00,2024.0,4.0,KEPULAUAN RIAU,0.72,3500,4861.111111111111,4861.111111111111
ORD_0000240,2024-04-18 17:39:00,2024.0,4.0,BANTEN,0.5,8000,16000.0,16000.0
ORD_0000241,2024-04-18 17:48:00,2024.0,4.0,JAWA TIMUR,0.12,12500,104166.66666666669,104166.66666666669
ORD_0000242,2024-04-18 19:09:00,2024.0,4.0,JAWA BARAT,2.0,8000,4000.0,4000.0
ORD_0000243,2024-04-18 19:23:00,2024.0,4.0,JAWA BARAT,0.4,8000,20000.0,20000.0
