order_id,waktu_pesanan,tahun,bulan,provinsi,total_berat_kg,cancel_flag,free_shipping_flag,median_tarif_per_kg,estimated_shipping_cost,cost_segment
ORD_0000001,2024-04-01 00:15:00,2024.0,4.0,BANTEN,2.0,0,1,9000.0,18000.0,Biaya Tinggi
ORD_0000002,2024-04-01 01:47:00,2024.0,4.0,JAWA TENGAH,0.5,0,1,5000.0,2500.0,Biaya Rendah
ORD_0000003,2024-04-01 04:25:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
ORD_0000004,2024-04-01 04:41:00,2024.0,4.0,JAMBI,0.4,0,1,13000.0,5200.0,Biaya Tinggi
ORD_0000005,2024-04-01 06:12:00,2024.0,4.0,BANTEN,3.6,1,1,9000.0,32400.0,Biaya Tinggi
ORD_0000006,2024-04-01 07:09:00,2024.0,4.0,JAWA BARAT,1.0,0,1,10000.0,10000.0,Biaya Tinggi
ORD_0000007,2024-04-01 07:23:00,2024.0,4.0,BANTEN,1.7,1,1,9000.0,15300.0,Biaya Tinggi
ORD_0000008,2024-04-01 07:33:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
ORD_0000009,2024-04-01 07:56:00,2024.0,4.0,JAWA BARAT,0.5,1,1,10000.0,5000.0,Biaya Rendah
ORD_0000011,2024-04-01 09:02:00,2024.0,4.0,RIAU,1.0,1,1,9200.0,9200.0,Biaya Tinggi
ORD_0000012,2024-04-01 10:24:00,2024.0,4.0,JAWA BARAT,0.5,1,1,10000.0,5000.0,Biaya Rendah
ORD_0000013,2024-04-01 10:26:00,2024.0,4.0,BANTEN,1.2,0,1,9000.0,10800.0,Biaya Tinggi
ORD_0000014,2024-04-01 10:54:00,2024.0,4.0,JAWA BARAT,0.4,0,1,10000.0,4000.0,Biaya Rendah
ORD_0000015,2024-04-01 12:36:00,2024.0,4.0,JAWA TENGAH,1.0,1,1,5000.0,5000.0,Biaya Rendah
ORD_0000016,2024-04-01 12:41:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
ORD_0000017,2024-04-01 12:44:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
ORD_0000020,2024-04-01 13:46:00,2024.0,4.0,BANTEN,0.8,0,1,9000.0,7200.0,Biaya Tinggi
ORD_0000021,2024-04-01 13:51:00,2024.0,4.0,JAWA BARAT,2.0,0,1,10000.0,20000.0,Biaya Tinggi
ORD_0000022,2024-04-01 13:53:00,2024.0,4.0,SULAWESI SELATAN,1.4,1,1,11500.0,16099.999999999998,Biaya Tinggi
ORD_0000024,2024-04-01 14:53:00,2024.0,4.0,DKI JAKARTA,0.2,0,1,11100.0,2220.0,Biaya Rendah
ORD_0000027,2024-04-01 15:52:00,2024.0,4.0,BANTEN,1.2,0,1,9000.0,10800.0,Biaya Tinggi
ORD_0000028,2024-04-01 16:09:00,2024.0,4.0,BANTEN,0.3,0,1,9000.0,2700.0,Biaya Rendah
ORD_0000029,2024-04-01 19:31:00,2024.0,4.0,JAWA BARAT,0.6,0,1,10000.0,6000.0,Biaya Tinggi
ORD_0000030,2024-04-01 20:41:00,2024.0,4.0,BANTEN,0.5,0,1,9000.0,4500.0,Biaya Rendah
ORD_0000032,2024-04-01 21:32:00,2024.0,4.0,DKI JAKARTA,8.02,1,1,11100.0,89022.0,Biaya Tinggi
ORD_0000033,2024-04-02 03:05:00,2024.0,4.0,JAWA TIMUR,1.2,0,1,5000.0,6000.0,Biaya Tinggi
ORD_0000035,2024-04-08 16:05:00,2024.0,4.0,BANTEN,0.6,1,1,9000.0,5400.0,Biaya Tinggi
ORD_0000039,2024-04-08 22:06:00,2024.0,4.0,SULAWESI SELATAN,0.7,1,1,11500.0,8049.999999999999,Biaya Tinggi
ORD_0000040,2024-04-08 23:45:00,2024.0,4.0,JAWA TIMUR,0.1,1,1,5000.0,500.0,Biaya Rendah
ORD_0000041,2024-04-09 00:00:00,2024.0,4.0,JAWA TIMUR,0.15,0,1,5000.0,750.0,Biaya Rendah
ORD_0000045,2024-04-09 08:47:00,2024.0,4.0,LAMPUNG,0.4,1,1,8600.0,3440.0,Biaya Rendah
ORD_0000051,2024-04-09 13:13:00,2024.0,4.0,BANTEN,0.5,1,1,9000.0,4500.0,Biaya Rendah
ORD_0000054,2024-04-09 21:08:00,2024.0,4.0,KALIMANTAN TENGAH,4.2,1,1,31200.0,131040.0,Biaya Tinggi
ORD_0000055,2024-04-10 00:32:00,2024.0,4.0,BANTEN,1.4,1,1,9000.0,12600.0,Biaya Tinggi
ORD_0000056,2024-04-10 08:13:00,2024.0,4.0,JAWA TENGAH,0.7,1,1,5000.0,3500.0,Biaya Rendah
ORD_0000057,2024-04-10 11:24:00,2024.0,4.0,JAWA BARAT,8.4,0,1,10000.0,84000.0,Biaya Tinggi
ORD_0000058,2024-04-10 11:40:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
ORD_0000059,2024-04-10 11:59:00,2024.0,4.0,BANTEN,9.0,1,1,9000.0,81000.0,Biaya Tinggi
ORD_0000063,2024-04-11 00:45:00,2024.0,4.0,JAWA BARAT,1.0,0,1,10000.0,10000.0,Biaya Tinggi
ORD_0000064,2024-04-11 00:47:00,2024.0,4.0,JAWA BARAT,0.5,0,1,10000.0,5000.0,Biaya Rendah
